rank,city,iso2,slug,index,rank_lo,rank_hi,tier,tier_stability,S_norm,R_norm,A_norm,S_rank,R_rank,A_rank,street_risk_per_km,high_risk_share,journey_risk_mean,journey_risk_p90,n_routed,access_composite,locked_pop_share,low_stress_km,street_km,population
1,Stockholm,SE,stockholm,98.0,1,7,1,1.0,0.0,0.065,0.0,1,15,1,44.25,0.0154,-14.434,9.021,210,0.7744,0.004,2857.9,2226.8,993829
2,Helsinki,FI,helsinki,97.0,1,9,1,1.0,0.033,0.0,0.056,7,1,13,46.92,0.0091,-28.891,-22.685,210,0.6817,0.0097,2864.9,2030.3,662727
3,Antwerp,BE,antwerp,96.4,2,13,1,1.0,0.06,0.021,0.019,9,7,7,46.52,0.0387,-18.594,-8.687,210,0.703,0.0857,1514.4,1220.1,538620
4,Haarlem,NL,haarlem,96.3,1,11,1,1.0,0.0,0.123,0.0,2,33,2,42.28,0.018,-9.002,4.329,210,0.8411,0.0,517.3,414.6,147840
5,Leiden,NL,leiden,96.2,3,13,1,1.0,0.0,0.127,0.0,3,37,3,45.03,0.018,-8.663,10.352,210,0.761,0.0,406.5,323.3,111679
6,Vantaa,FI,vantaa,96.2,2,10,1,1.0,0.074,0.0,0.03,13,2,10,49.08,0.0155,-25.577,-1.852,210,0.6966,0.0325,2142.0,1425.7,240437
7,The Hague,NL,thehague,95.0,4,18,1,1.0,0.031,0.098,0.028,6,23,8,46.57,0.0204,-11.398,7.093,210,0.6976,0.0399,1443.2,1100.5,508908
8,Espoo,FI,espoo,94.7,3,14,1,1.0,0.072,0.0,0.082,12,3,17,48.99,0.0177,-27.595,-11.206,210,0.6665,0.1134,2845.7,2122.5,293108
9,Amsterdam,NL,amsterdam,94.2,5,17,1,1.0,0.058,0.046,0.069,8,10,14,47.81,0.0231,-16.212,-5.471,210,0.674,0.0318,2179.6,1674.8,774206
10,Barcelona,ES,barcelona,93.2,6,19,1,1.0,0.102,0.091,0.0,20,21,4,45.24,0.0787,-12.009,0.24,210,0.7233,0.0465,1595.7,1303.3,1744231
11,Paris,FR,paris,93.0,5,16,1,1.0,0.098,0.103,0.0,16,25,5,46.65,0.0604,-10.886,2.505,210,0.7547,0.0,1618.9,1418.7,2374638
12,Tampere,FI,tampere,92.5,4,17,1,1.0,0.096,0.0,0.124,15,4,24,49.69,0.0245,-30.589,-21.958,210,0.6421,0.0338,2554.6,2254.1,227142
13,Eindhoven,NL,eindhoven,92.4,9,23,1,1.0,0.06,0.088,0.084,10,20,19,46.82,0.0351,-12.289,1.357,210,0.6651,0.0851,1084.0,995.1,221413
14,Utrecht,NL,utrecht,91.8,11,22,1,1.0,0.085,0.078,0.082,14,17,18,48.05,0.0367,-13.208,2.568,210,0.6665,0.0509,1073.9,1069.9,351191
15,Brussels,BE,brussels,91.3,3,23,1,1.0,0.021,0.261,0.0,4,74,6,41.14,0.0309,3.852,20.938,210,0.7873,0.0,2120.4,2110.5,1270904
16,Rotterdam,NL,rotterdam,90.8,14,24,1,1.0,0.105,0.086,0.08,21,19,16,48.8,0.0403,-12.506,8.79,210,0.6675,0.1314,2306.1,1860.2,602272
17,Copenhagen,DK,copenhagen,89.0,8,28,1,1.0,0.023,0.126,0.21,5,35,41,43.45,0.0319,-8.718,9.131,210,0.5917,0.018,750.6,1369.5,646742
18,San Sebastián,ES,sansebastian,88.8,17,29,1,1.0,0.101,0.126,0.112,19,36,23,47.48,0.0532,-8.784,9.025,210,0.6486,0.0,581.0,490.0,206288
19,Turku,FI,turku,88.4,6,24,1,1.0,0.156,0.0,0.178,29,5,37,52.85,0.0256,-25.866,-16.584,210,0.6104,0.2518,1492.4,1556.8,190529
20,Hanover,DE,hanover,87.7,18,28,1,1.0,0.132,0.103,0.132,25,26,26,49.15,0.0528,-10.882,2.125,210,0.6375,0.1465,1751.7,1844.7,482592
21,Munich,DE,munich,86.9,20,33,1,1.0,0.12,0.148,0.128,22,41,25,49.11,0.0463,-6.712,2.302,210,0.6395,0.1263,2913.1,3108.5,1485388
22,Bremen,DE,bremen,86.4,18,36,1,1.0,0.068,0.188,0.175,11,48,32,42.92,0.0594,-3.011,19.942,210,0.6122,0.3131,1820.8,2429.4,550217
23,Ghent,BE,ghent,85.5,21,37,1,1.0,0.1,0.175,0.175,17,45,33,46.99,0.0581,-4.186,14.2,210,0.6124,0.1689,1014.2,1391.8,259126
24,Braunschweig,DE,braunschweig,84.1,23,36,1,1.0,0.158,0.111,0.207,30,29,40,50.06,0.0587,-10.183,8.47,210,0.5932,0.2032,1176.0,1102.3,231178
