slug,sites,passages,ksi,all_crashes,site_risk,index,tier,label,ksi_per_10m,iso2
antwerp,26,51850148.0,11,252,47.07692307692308,96.4,1,Antwerp,2.121498283862179,BE
paris,62,160313475.0,31,621,48.42741935483871,93.0,1,Paris,1.9337114362969177,FR
brussels,31,51633922.0,6,186,23.322580645161292,91.3,1,Brussels,1.162026777667596,BE
ghent,13,63510029.2,10,60,38.15384615384615,85.5,1,Ghent,1.5745544642262579,BE
toulouse,77,106085425.0,19,56,53.95454545454545,82.1,1,Toulouse,1.79100946242144,FR
nantes,15,22167932.99516908,3,7,34.1,79.0,1,Nantes,1.3533061475121615,FR
freiburg,16,213992376.3169399,45,349,39.0625,76.1,1,Freiburg,2.1028786527119725,DE
mannheim,17,85178427.70085466,30,162,74.05882352941177,73.6,1,Mannheim,3.5220185215627065,DE
berlin,189,815555713.1128594,381,2992,52.65608465608466,73.6,1,Berlin,4.671661222821646,DE
karlsruhe,1,15729585.24590164,5,57,1.0,63.7,2,Karlsruhe,3.178723355914775,DE
madrid,134,76781838.0,26,705,69.3634328358209,58.6,2,Madrid,3.3862174541849335,ES
bordeaux,28,42417944.09222504,17,37,60.535714285714285,57.6,2,Bordeaux,4.007737848642221,FR
liege,12,14428625.2,0,24,41.916666666666664,56.0,2,Liège,0.0,BE
stuttgart,18,57389010.760684684,13,171,54.77777777777778,53.5,2,Stuttgart,2.265242043326154,DE
zurich,25,212217771.55554834,157,826,47.92,52.3,2,Zurich,7.398060909281813,CH
basel,30,169743358.92171407,96,274,47.53333333333333,50.0,3,Basel,5.655596814498962,CH
charleroi,5,1443443.6,0,0,45.2,31.0,3,Charleroi,0.0,BE
